Date,Open,High,Low,Close
2020-02-24 00:00:00-05:00,6.524,6.858,6.020,6.724
2020-03-02 00:00:00-05:00,6.898,7.097,6.427,6.627
2020-03-09 00:00:00-04:00,5.976,6.504,5.376,5.999
2020-03-16 00:00:00-04:00,5.291,5.737,4.501,5.125
2020-03-23 00:00:00-04:00,5.124,6.554,4.945,6.296
2020-03-30 00:00:00-04:00,6.361,6.860,5.938,6.076
2020-04-06 00:00:00-04:00,6.358,6.931,6.301,6.550
2020-04-13 00:00:00-04:00,6.490,7.448,6.402,7.282
2020-04-20 00:00:00-04:00,7.155,7.311,6.654,7.214
2020-04-27 00:00:00-04:00,7.348,7.578,6.996,7.044
2020-05-04 00:00:00-04:00,6.997,7.791,6.997,7.785
2020-05-11 00:00:00-04:00,7.780,8.470,7.568,8.460
2020-05-18 00:00:00-04:00,8.729,9.060,8.649,8.994
2020-05-25 00:00:00-04:00,9.124,9.149,7.968,8.844
2020-06-01 00:00:00-04:00,8.802,8.965,8.627,8.888
2020-06-08 00:00:00-04:00,8.850,9.470,8.659,8.905
2020-06-15 00:00:00-04:00,8.788,9.415,8.716,9.232
2020-06-22 00:00:00-04:00,9.271,9.612,9.096,9.126
2020-06-29 00:00:00-04:00,9.141,9.707,8.872,9.582
2020-07-06 00:00:00-04:00,9.711,10.622,9.682,10.447
2020-07-13 00:00:00-04:00,10.562,10.759,9.755,10.170
2020-07-20 00:00:00-04:00,10.242,10.569,9.746,10.163
2020-07-27 00:00:00-04:00,10.200,10.733,10.177,10.582
2020-08-03 00:00:00-04:00,10.699,11.469,10.682,11.165
2020-08-10 00:00:00-04:00,11.299,11.685,10.762,11.528
2020-08-17 00:00:00-04:00,11.814,12.769,11.780,12.644
2020-08-24 00:00:00-04:00,12.843,13.107,12.468,13.107
2020-08-31 00:00:00-04:00,13.142,14.681,11.668,12.583
2020-09-07 00:00:00-04:00,11.701,13.028,11.671,12.130
2020-09-14 00:00:00-04:00,13.044,13.277,11.955,12.155
2020-09-21 00:00:00-04:00,11.891,12.847,11.871,12.837
2020-09-28 00:00:00-04:00,13.003,13.724,12.714,13.025
2020-10-05 00:00:00-04:00,13.199,14.102,13.185,13.724
2020-10-12 00:00:00-04:00,13.950,14.308,13.729,13.772
2020-10-19 00:00:00-04:00,13.864,13.944,13.194,13.552
2020-10-26 00:00:00-04:00,13.389,13.654,12.265,12.499
2020-11-02 00:00:00-05:00,12.622,14.548,12.360,14.521
2020-11-09 00:00:00-05:00,14.511,14.650,12.593,13.259
2020-11-16 00:00:00-05:00,13.135,13.611,13.028,13.051
2020-11-23 00:00:00-05:00,13.134,13.370,12.849,13.224
2020-11-30 00:00:00-05:00,13.228,13.635,12.936,13.520
2020-12-07 00:00:00-05:00,13.567,13.696,12.791,12.980
2020-12-14 00:00:00-05:00,13.055,13.430,13.037,13.238
2020-12-21 00:00:00-05:00,13.042,13.336,12.906,12.961
2020-12-28 00:00:00-05:00,13.029,13.180,12.731,13.022
2021-01-04 00:00:00-05:00,13.071,13.618,12.554,13.243
2021-01-11 00:00:00-05:00,13.385,13.926,12.816,12.827
2021-01-18 00:00:00-05:00,12.983,13.964,12.811,13.678
2021-01-25 00:00:00-05:00,13.747,13.793,12.761,12.957
2021-02-01 00:00:00-05:00,13.020,13.896,12.870,13.557
2021-02-08 00:00:00-05:00,13.692,15.253,13.692,14.923
2021-02-15 00:00:00-05:00,15.026,15.334,14.538,14.889
2021-02-22 00:00:00-05:00,14.737,15.095,13.183,13.680
2021-03-01 00:00:00-05:00,13.840,13.890,11.650,12.430
2021-03-08 00:00:00-05:00,12.418,13.013,11.537,12.823
2021-03-15 00:00:00-04:00,12.837,13.483,12.585,12.818
2021-03-22 00:00:00-04:00,12.885,13.365,12.245,12.811
2021-03-29 00:00:00-04:00,12.792,13.840,12.672,13.782
2021-04-05 00:00:00-04:00,13.837,14.440,13.682,14.369
2021-04-12 00:00:00-04:00,14.258,16.179,14.108,15.878
2021-04-19 00:00:00-04:00,15.503,15.773,14.751,15.232
2021-04-26 00:00:00-04:00,15.152,15.636,14.964,14.977
2021-05-03 00:00:00-04:00,15.092,15.213,13.980,14.780
2021-05-10 00:00:00-04:00,14.755,14.774,13.430,14.212
2021-05-17 00:00:00-04:00,14.126,15.189,13.514,14.959
2021-05-24 00:00:00-04:00,15.179,16.242,15.143,16.209
2021-05-31 00:00:00-04:00,16.234,17.622,15.868,17.540
2021-06-07 00:00:00-04:00,17.533,17.900,17.138,17.786
2021-06-14 00:00:00-04:00,17.871,19.337,17.550,18.602
2021-06-21 00:00:00-04:00,18.399,19.382,17.788,18.994
2021-06-28 00:00:00-04:00,19.323,20.465,19.281,20.447
2021-07-05 00:00:00-04:00,20.697,20.834,19.662,20.011
2021-07-12 00:00:00-04:00,20.200,20.493,18.038,18.125
2021-07-19 00:00:00-04:00,17.880,19.848,17.831,19.520
2021-07-26 00:00:00-04:00,19.273,19.814,18.704,19.461
2021-08-02 00:00:00-04:00,19.661,20.692,19.182,20.326
2021-08-09 00:00:00-04:00,20.406,20.468,19.392,20.148
2021-08-16 00:00:00-04:00,20.096,20.824,18.725,20.775
2021-08-23 00:00:00-04:00,20.930,22.677,20.909,22.592
2021-08-30 00:00:00-04:00,22.785,22.998,22.077,22.798
2021-09-06 00:00:00-04:00,22.792,22.858,21.938,22.438
2021-09-13 00:00:00-04:00,22.644,22.923,21.791,21.861
2021-09-20 00:00:00-04:00,21.108,22.495,20.625,22.042
2021-09-27 00:00:00-04:00,21.671,21.760,20.167,20.705
2021-10-04 00:00:00-04:00,20.467,21.284,19.520,20.794
2021-10-11 00:00:00-04:00,20.538,21.892,20.474,21.823
2021-10-18 00:00:00-04:00,21.710,23.089,21.605,22.685
2021-10-25 00:00:00-04:00,22.932,25.663,22.729,25.521
